1,1,Pedestrian,?,?,?,358,208,481,456,?,?,?,?,?,?,?,0.8605012893676758
1,2,Pedestrian,?,?,?,471,193,548,427,?,?,?,?,?,?,?,0.7850396633148193
1,3,Cyclist,?,?,?,266,276,386,376,?,?,?,?,?,?,?,0.4989473521709442
1,4,Cyclist,?,?,?,215,292,293,379,?,?,?,?,?,?,?,0.5052903294563293
1,5,Pedestrian,?,?,?,556,189,580,252,?,?,?,?,?,?,?,0.2955555319786072
2,1,Pedestrian,?,?,?,368,204,492,455,?,?,?,?,?,?,?,0.777351438999176
2,2,Pedestrian,?,?,?,486,192,564,428,?,?,?,?,?,?,?,0.8630937337875366
2,3,Cyclist,?,?,?,274,270,398,374,?,?,?,?,?,?,?,0.3277064263820648
2,4,Cyclist,?,?,?,214,291,293,379,?,?,?,?,?,?,?,0.5261250734329224
2,5,Pedestrian,?,?,?,556,189,579,252,?,?,?,?,?,?,?,0.8630937337875366
3,1,Pedestrian,?,?,?,386,200,511,458,?,?,?,?,?,?,?,0.7899851202964783
3,2,Pedestrian,?,?,?,503,193,584,438,?,?,?,?,?,?,?,0.8176127076148987
3,3,Cyclist,?,?,?,272,274,394,376,?,?,?,?,?,?,?,0.30422163009643555
3,4,Cyclist,?,?,?,216,295,291,380,?,?,?,?,?,?,?,0.3839621841907501
4,1,Pedestrian,?,?,?,401,199,527,464,?,?,?,?,?,?,?,0.81767737865448
4,2,Pedestrian,?,?,?,516,194,598,438,?,?,?,?,?,?,?,0.8585251569747925
4,3,Cyclist,?,?,?,270,275,392,376,?,?,?,?,?,?,?,0.3106141984462738
4,4,Cyclist,?,?,?,216,296,291,380,?,?,?,?,?,?,?,0.3945075571537018
4,6,Cyclist,?,?,?,334,271,434,368,?,?,?,?,?,?,?,0.31646907329559326
4,7,Cyclist,?,?,?,212,272,295,376,?,?,?,?,?,?,?,0.5135075449943542
5,1,Pedestrian,?,?,?,420,203,543,461,?,?,?,?,?,?,?,0.8371469974517822
5,2,Pedestrian,?,?,?,526,199,610,446,?,?,?,?,?,?,?,0.8676937222480774
5,3,Cyclist,?,?,?,270,275,391,376,?,?,?,?,?,?,?,0.3094368577003479
5,4,Cyclist,?,?,?,217,298,290,380,?,?,?,?,?,?,?,0.5205232501029968
5,6,Cyclist,?,?,?,336,273,435,369,?,?,?,?,?,?,?,0.34193482995033264
5,7,Cyclist,?,?,?,212,273,295,376,?,?,?,?,?,?,?,0.5205232501029968
6,1,Pedestrian,?,?,?,433,205,559,470,?,?,?,?,?,?,?,0.8501054048538208
6,2,Pedestrian,?,?,?,536,199,621,448,?,?,?,?,?,?,?,0.8286694288253784
6,3,Cyclist,?,?,?,270,276,390,377,?,?,?,?,?,?,?,0.3277413845062256
6,4,Cyclist,?,?,?,216,296,291,380,?,?,?,?,?,?,?,0.3916575610637665
6,6,Cyclist,?,?,?,345,273,445,370,?,?,?,?,?,?,?,0.43053069710731506
6,7,Cyclist,?,?,?,210,269,296,376,?,?,?,?,?,?,?,0.46507829427719116
7,1,Pedestrian,?,?,?,446,206,572,475,?,?,?,?,?,?,?,0.7967208027839661
7,2,Pedestrian,?,?,?,549,195,635,449,?,?,?,?,?,?,?,0.8043609261512756
7,3,Cyclist,?,?,?,267,275,389,377,?,?,?,?,?,?,?,0.3479379713535309
7,4,Cyclist,?,?,?,216,296,292,382,?,?,?,?,?,?,?,0.31424975395202637
7,6,Cyclist,?,?,?,346,266,449,364,?,?,?,?,?,?,?,0.4203207790851593
7,7,Cyclist,?,?,?,209,267,298,378,?,?,?,?,?,?,?,0.3577248752117157
8,1,Pedestrian,?,?,?,461,204,586,478,?,?,?,?,?,?,?,0.7392926216125488
8,2,Pedestrian,?,?,?,565,192,651,449,?,?,?,?,?,?,?,0.7913568615913391
8,3,Cyclist,?,?,?,269,274,391,377,?,?,?,?,?,?,?,0.2854788303375244
8,4,Cyclist,?,?,?,199,254,310,381,?,?,?,?,?,?,?,0.2514985501766205
8,6,Cyclist,?,?,?,349,260,459,361,?,?,?,?,?,?,?,0.4744080901145935
8,7,Cyclist,?,?,?,208,272,297,384,?,?,?,?,?,?,?,0.4759161174297333
9,1,Pedestrian,?,?,?,480,202,603,477,?,?,?,?,?,?,?,0.8128766417503357
9,2,Pedestrian,?,?,?,586,193,673,451,?,?,?,?,?,?,?,0.8344682455062866
9,3,Cyclist,?,?,?,269,273,392,377,?,?,?,?,?,?,?,0.3231109380722046
